"BehaviorSpace results (NetLogo 6.2.2)"
"Coupled-Contagion-And-FTA-v7.nlogo"
"calibrate-prob-release-damping"
"11/19/2023 20:26:42:902 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","beta-dist-denom","satisficing-radius","fear-threshold","fear-lambda","init-infected","step-increment","hide-duration","Network-Type","average-node-degree","Release-Mechanism","percent-nodes-swapped","type-of-fear-distribution","satisficing?","num-turtles","Infection-Duration","Random-Seed?","Disease-Infection-Rate","color-patches?","percent-links-rewired","Fear-Mechanism","Fear-Infection-Rate","Fear-On?","restore-hiding","random_seed_num","prob-release-damping","[step]","mean avg-hide-time"
"30","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.2699896157840085"
"31","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.3134328358208953"
"32","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.346268656716418"
"33","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.288551401869159"
"34","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.65625"
"35","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.384009009009009"
"37","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.1184971098265897"
"36","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.279797125950972"
"39","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.324675324675325"
"38","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.3396860986547083"
"40","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.3195876288659796"
"41","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.456281407035176"
"42","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.3474494706448508"
"43","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.2365339578454333"
"44","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.230769230769231"
"45","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.2972166998011927"
"46","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.1925754060324825"
"47","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.3421309872922778"
"48","1","0.01","1","1","5","0.005","4","Small World","6","probabilistic","1","Anchor","false","1000","6","true","0.06","true","0.2","Complex Contagion-Gamma","0.05","true","0","0","100","149","3.401816118047673"
